segment	start	strand	num_CoV_aligned	specificity
NM_001101.3	221	+	0	1
NM_001101.3	222	+	0	1
NM_001101.3	223	+	0	1
NM_001101.3	224	+	0	1
NM_001101.3	225	+	0	1
NM_001101.3	226	+	0	1
NM_001101.3	227	+	0	1
NM_001101.3	228	+	0	1
NM_001101.3	229	+	0	1
NM_001101.3	230	+	0	1
NM_001101.3	231	+	0	1
NM_001101.3	232	+	0	1
NM_001101.3	233	+	0	1
NM_001101.3	234	+	0	1
NM_001101.3	235	+	0	1
NM_001101.3	236	+	0	1
NM_001101.3	237	+	0	1
NM_001101.3	238	+	0	1
NM_001101.3	239	+	0	1
NM_001101.3	240	+	0	1
NM_001101.3	241	+	0	1
NM_001101.3	242	+	0	1
NM_001101.3	243	+	0	1
NM_001101.3	244	+	0	1
NM_001101.3	245	+	0	1
NM_001101.3	246	+	0	1
NM_001101.3	247	+	0	1
NM_001101.3	248	+	0	1
NM_001101.3	249	+	0	1
NM_001101.3	250	+	0	1
NM_001101.3	251	+	0	1
NM_001101.3	252	+	0	1
NM_001101.3	253	+	0	1
NM_001101.3	254	+	0	1
NM_001101.3	255	+	0	1
NM_001101.3	256	+	0	1
NM_001101.3	257	+	0	1
NM_001101.3	258	+	0	1
NM_001101.3	259	+	0	1
NM_001101.3	260	+	0	1
NM_001101.3	261	+	0	1
NM_001101.3	262	+	0	1
NM_001101.3	263	+	0	1
NM_001101.3	264	+	0	1
NM_001101.3	265	+	0	1
NM_001101.3	266	+	0	1
NM_001101.3	267	+	0	1
NM_001101.3	268	+	0	1
NM_001101.3	269	+	0	1
NM_001101.3	270	+	0	1
NM_001101.3	271	+	0	1
NM_001101.3	272	+	0	1
NM_001101.3	273	+	0	1
NM_001101.3	274	+	0	1
NM_001101.3	275	+	0	1
NM_001101.3	276	+	0	1
NM_001101.3	277	+	0	1
NM_001101.3	278	+	0	1
NM_001101.3	279	+	0	1
NM_001101.3	280	+	0	1
NM_001101.3	281	+	0	1
NM_001101.3	282	+	0	1
NM_001101.3	283	+	0	1
NM_001101.3	284	+	0	1
NM_001101.3	285	+	0	1
NM_001101.3	286	+	0	1
NM_001101.3	287	+	0	1
NM_001101.3	288	+	0	1
NM_001101.3	289	+	0	1
NM_001101.3	290	+	0	1
NM_001101.3	291	+	0	1
NM_001101.3	292	+	0	1
NM_001101.3	293	+	0	1
NM_001101.3	294	+	0	1
NM_001101.3	295	+	0	1
NM_001101.3	296	+	0	1
NM_001101.3	297	+	0	1
NM_001101.3	298	+	0	1
NM_001101.3	299	+	0	1
NM_001101.3	300	+	0	1
NM_001101.3	301	+	0	1
NM_001101.3	302	+	0	1
NM_001101.3	303	+	0	1
NM_001101.3	304	+	0	1
NM_001101.3	305	+	0	1
NM_001101.3	306	+	0	1
NM_001101.3	307	+	0	1
NM_001101.3	308	+	0	1
NM_001101.3	309	+	0	1
NM_001101.3	310	+	0	1
NM_001101.3	311	+	0	1
NM_001101.3	312	+	0	1
NM_001101.3	313	+	0	1
NM_001101.3	314	+	0	1
NM_001101.3	315	+	0	1
NM_001101.3	316	+	0	1
NM_001101.3	317	+	0	1
NM_001101.3	318	+	0	1
NM_001101.3	319	+	0	1
NM_001101.3	320	+	0	1
NM_001101.3	321	+	0	1
NM_001101.3	322	+	0	1
NM_001101.3	323	+	0	1
NM_001101.3	324	+	0	1
NM_001101.3	325	+	0	1
NM_001101.3	326	+	0	1
NM_001101.3	327	+	0	1
NM_001101.3	328	+	0	1
NM_001101.3	329	+	0	1
NM_001101.3	330	+	0	1
NM_001101.3	331	+	0	1
NM_001101.3	332	+	0	1
NM_001101.3	333	+	0	1
NM_001101.3	334	+	0	1
NM_001101.3	335	+	0	1
NM_001101.3	336	+	0	1
NM_001101.3	337	+	0	1
NM_001101.3	338	+	0	1
NM_001101.3	339	+	0	1
NM_001101.3	340	+	0	1
NM_001101.3	341	+	0	1
NM_001101.3	342	+	0	1
NM_001101.3	343	+	0	1
NM_001101.3	344	+	0	1
NM_001101.3	345	+	0	1
NM_001101.3	346	+	0	1
NM_001101.3	347	+	0	1
NM_001101.3	348	+	0	1
NM_001101.3	349	+	0	1
NM_001101.3	350	+	0	1
NM_001101.3	351	+	0	1
NM_001101.3	352	+	0	1
NM_001101.3	353	+	0	1
NM_001101.3	354	+	0	1
NM_001101.3	355	+	0	1
NM_001101.3	356	+	0	1
NM_001101.3	357	+	0	1
NM_001101.3	358	+	0	1
NM_001101.3	359	+	0	1
NM_001101.3	360	+	0	1
NM_001101.3	361	+	0	1
NM_001101.3	362	+	0	1
NM_001101.3	363	+	0	1
NM_001101.3	364	+	0	1
NM_001101.3	365	+	0	1
NM_001101.3	366	+	0	1
NM_001101.3	367	+	0	1
NM_001101.3	368	+	0	1
NM_001101.3	369	+	0	1
NM_001101.3	370	+	0	1
NM_001101.3	371	+	0	1
NM_001101.3	372	+	0	1
NM_001101.3	373	+	0	1
NM_001101.3	374	+	0	1
NM_001101.3	375	+	0	1
NM_001101.3	376	+	0	1
NM_001101.3	377	+	0	1
NM_001101.3	378	+	0	1
NM_001101.3	379	+	0	1
NM_001101.3	380	+	0	1
NM_001101.3	381	+	0	1
NM_001101.3	382	+	0	1
NM_001101.3	383	+	0	1
NM_001101.3	384	+	0	1
NM_001101.3	385	+	0	1
NM_001101.3	386	+	0	1
NM_001101.3	387	+	0	1
NM_001101.3	388	+	0	1
NM_001101.3	389	+	0	1
NM_001101.3	390	+	0	1
NM_001101.3	391	+	0	1
NM_001101.3	392	+	0	1
NM_001101.3	393	+	0	1
NM_001101.3	394	+	0	1
NM_001101.3	395	+	0	1
NM_001101.3	396	+	0	1
NM_001101.3	397	+	0	1
NM_001101.3	398	+	0	1
NM_001101.3	399	+	0	1
NM_001101.3	400	+	0	1
NM_001101.3	401	+	0	1
NM_001101.3	402	+	0	1
NM_001101.3	403	+	0	1
NM_001101.3	404	+	0	1
NM_001101.3	405	+	0	1
NM_001101.3	406	+	0	1
NM_001101.3	407	+	0	1
NM_001101.3	408	+	0	1
NM_001101.3	409	+	0	1
NM_001101.3	410	+	0	1
NM_001101.3	411	+	0	1
NM_001101.3	412	+	0	1
NM_001101.3	413	+	0	1
NM_001101.3	414	+	0	1
NM_001101.3	415	+	0	1
NM_001101.3	416	+	0	1
NM_001101.3	417	+	0	1
NM_001101.3	418	+	0	1
NM_001101.3	419	+	0	1
NM_001101.3	420	+	0	1
NM_001101.3	421	+	0	1
NM_001101.3	422	+	0	1
NM_001101.3	423	+	0	1
NM_001101.3	424	+	0	1
NM_001101.3	425	+	0	1
NM_001101.3	426	+	0	1
NM_001101.3	427	+	0	1
NM_001101.3	428	+	0	1
NM_001101.3	429	+	0	1
NM_001101.3	430	+	0	1
NM_001101.3	431	+	0	1
NM_001101.3	432	+	0	1
NM_001101.3	433	+	0	1
NM_001101.3	434	+	0	1
NM_001101.3	435	+	0	1
NM_001101.3	436	+	0	1
NM_001101.3	437	+	0	1
NM_001101.3	438	+	0	1
NM_001101.3	439	+	0	1
NM_001101.3	440	+	0	1
NM_001101.3	441	+	0	1
NM_001101.3	442	+	0	1
NM_001101.3	443	+	0	1
NM_001101.3	444	+	0	1
NM_001101.3	445	+	0	1
NM_001101.3	446	+	0	1
NM_001101.3	447	+	0	1
NM_001101.3	448	+	0	1
NM_001101.3	449	+	0	1
NM_001101.3	450	+	0	1
NM_001101.3	451	+	0	1
NM_001101.3	452	+	0	1
NM_001101.3	453	+	0	1
NM_001101.3	454	+	0	1
NM_001101.3	455	+	0	1
NM_001101.3	456	+	0	1
NM_001101.3	457	+	0	1
NM_001101.3	458	+	0	1
NM_001101.3	459	+	0	1
NM_001101.3	460	+	0	1
NM_001101.3	461	+	0	1
NM_001101.3	462	+	0	1
NM_001101.3	463	+	0	1
NM_001101.3	464	+	0	1
NM_001101.3	465	+	0	1
NM_001101.3	466	+	0	1
NM_001101.3	467	+	0	1
NM_001101.3	468	+	0	1
NM_001101.3	469	+	0	1
NM_001101.3	470	+	0	1
NM_001101.3	471	+	0	1
NM_001101.3	472	+	0	1
NM_001101.3	473	+	0	1
NM_001101.3	474	+	0	1
NM_001101.3	475	+	0	1
NM_001101.3	476	+	0	1
NM_001101.3	477	+	0	1
NM_001101.3	478	+	0	1
NM_001101.3	479	+	0	1
NM_001101.3	480	+	0	1
NM_001101.3	481	+	0	1
NM_001101.3	482	+	0	1
NM_001101.3	483	+	0	1
NM_001101.3	484	+	0	1
NM_001101.3	485	+	0	1
NM_001101.3	486	+	0	1
NM_001101.3	487	+	0	1
NM_001101.3	488	+	0	1
NM_001101.3	489	+	0	1
NM_001101.3	490	+	0	1
NM_001101.3	491	+	0	1
NM_001101.3	492	+	0	1
NM_001101.3	493	+	0	1
NM_001101.3	494	+	0	1
NM_001101.3	495	+	0	1
NM_001101.3	496	+	0	1
NM_001101.3	497	+	0	1
NM_001101.3	498	+	0	1
NM_001101.3	499	+	0	1
NM_001101.3	500	+	0	1
NM_001101.3	501	+	0	1
NM_001101.3	502	+	0	1
NM_001101.3	503	+	0	1
NM_001101.3	504	+	0	1
NM_001101.3	505	+	0	1
NM_001101.3	506	+	0	1
NM_001101.3	507	+	0	1
NM_001101.3	508	+	0	1
NM_001101.3	509	+	0	1
NM_001101.3	510	+	0	1
NM_001101.3	511	+	0	1
NM_001101.3	512	+	0	1
NM_001101.3	513	+	0	1
NM_001101.3	514	+	0	1
NM_001101.3	515	+	0	1
NM_001101.3	516	+	0	1
NM_001101.3	517	+	0	1
NM_001101.3	518	+	0	1
NM_001101.3	519	+	0	1
NM_001101.3	520	+	0	1
NM_001101.3	521	+	0	1
NM_001101.3	522	+	0	1
NM_001101.3	523	+	0	1
NM_001101.3	524	+	0	1
NM_001101.3	525	+	0	1
NM_001101.3	526	+	0	1
NM_001101.3	527	+	0	1
NM_001101.3	528	+	0	1
NM_001101.3	529	+	0	1
NM_001101.3	530	+	0	1
NM_001101.3	531	+	0	1
NM_001101.3	532	+	0	1
NM_001101.3	533	+	0	1
NM_001101.3	534	+	0	1
NM_001101.3	535	+	0	1
NM_001101.3	536	+	0	1
NM_001101.3	537	+	0	1
NM_001101.3	538	+	0	1
NM_001101.3	539	+	0	1
NM_001101.3	540	+	0	1
NM_001101.3	541	+	0	1
NM_001101.3	542	+	0	1
NM_001101.3	543	+	0	1
NM_001101.3	544	+	0	1
NM_001101.3	545	+	0	1
NM_001101.3	546	+	0	1
NM_001101.3	547	+	0	1
NM_001101.3	548	+	0	1
NM_001101.3	549	+	0	1
NM_001101.3	550	+	0	1
NM_001101.3	551	+	0	1
NM_001101.3	552	+	0	1
NM_001101.3	553	+	0	1
NM_001101.3	554	+	0	1
NM_001101.3	555	+	0	1
NM_001101.3	556	+	0	1
NM_001101.3	557	+	0	1
NM_001101.3	558	+	0	1
NM_001101.3	559	+	0	1
NM_001101.3	560	+	0	1
NM_001101.3	561	+	0	1
NM_001101.3	562	+	0	1
NM_001101.3	563	+	0	1
NM_001101.3	564	+	0	1
NM_001101.3	565	+	0	1
NM_001101.3	566	+	0	1
NM_001101.3	567	+	0	1
NM_001101.3	568	+	0	1
NM_001101.3	569	+	0	1
NM_001101.3	570	+	0	1
NM_001101.3	571	+	0	1
NM_001101.3	572	+	0	1
NM_001101.3	573	+	0	1
NM_001101.3	574	+	0	1
NM_001101.3	575	+	0	1
NM_001101.3	576	+	0	1
NM_001101.3	577	+	0	1
NM_001101.3	578	+	0	1
NM_001101.3	579	+	0	1
NM_001101.3	580	+	0	1
NM_001101.3	581	+	0	1
NM_001101.3	582	+	0	1
NM_001101.3	583	+	0	1
NM_001101.3	584	+	0	1
NM_001101.3	585	+	0	1
NM_001101.3	586	+	0	1
NM_001101.3	587	+	0	1
NM_001101.3	588	+	0	1
NM_001101.3	589	+	0	1
NM_001101.3	590	+	0	1
NM_001101.3	591	+	0	1
NM_001101.3	592	+	0	1
NM_001101.3	593	+	0	1
NM_001101.3	594	+	0	1
NM_001101.3	595	+	0	1
NM_001101.3	596	+	0	1
NM_001101.3	597	+	0	1
NM_001101.3	598	+	0	1
NM_001101.3	599	+	0	1
NM_001101.3	600	+	0	1
NM_001101.3	601	+	0	1
NM_001101.3	602	+	0	1
NM_001101.3	603	+	0	1
NM_001101.3	604	+	0	1
NM_001101.3	605	+	0	1
NM_001101.3	606	+	0	1
NM_001101.3	607	+	0	1
NM_001101.3	608	+	0	1
NM_001101.3	609	+	0	1
NM_001101.3	610	+	0	1
NM_001101.3	611	+	0	1
NM_001101.3	612	+	0	1
NM_001101.3	613	+	0	1
NM_001101.3	614	+	0	1
NM_001101.3	615	+	0	1
NM_001101.3	616	+	0	1
NM_001101.3	617	+	0	1
NM_001101.3	618	+	0	1
NM_001101.3	619	+	0	1
NM_001101.3	620	+	0	1
NM_001101.3	621	+	0	1
NM_001101.3	622	+	0	1
NM_001101.3	623	+	0	1
NM_001101.3	624	+	0	1
NM_001101.3	625	+	0	1
NM_001101.3	626	+	0	1
NM_001101.3	627	+	0	1
NM_001101.3	628	+	0	1
NM_001101.3	629	+	0	1
NM_001101.3	630	+	0	1
NM_001101.3	631	+	0	1
NM_001101.3	632	+	0	1
NM_001101.3	633	+	0	1
NM_001101.3	634	+	0	1
NM_001101.3	635	+	0	1
NM_001101.3	636	+	0	1
NM_001101.3	637	+	0	1
NM_001101.3	638	+	0	1
NM_001101.3	639	+	0	1
NM_001101.3	640	+	0	1
NM_001101.3	641	+	0	1
NM_001101.3	642	+	0	1
NM_001101.3	643	+	0	1
NM_001101.3	644	+	0	1
NM_001101.3	645	+	0	1
NM_001101.3	646	+	0	1
NM_001101.3	647	+	0	1
NM_001101.3	648	+	0	1
NM_001101.3	649	+	0	1
NM_001101.3	650	+	0	1
NM_001101.3	651	+	0	1
NM_001101.3	652	+	0	1
NM_001101.3	653	+	0	1
NM_001101.3	654	+	0	1
NM_001101.3	655	+	0	1
NM_001101.3	656	+	0	1
NM_001101.3	657	+	0	1
NM_001101.3	658	+	0	1
NM_001101.3	659	+	0	1
NM_001101.3	660	+	0	1
NM_001101.3	661	+	0	1
NM_001101.3	662	+	0	1
NM_001101.3	663	+	0	1
NM_001101.3	664	+	0	1
NM_001101.3	665	+	0	1
NM_001101.3	666	+	0	1
NM_001101.3	667	+	0	1
NM_001101.3	668	+	0	1
NM_001101.3	669	+	0	1
NM_001101.3	670	+	0	1
NM_001101.3	671	+	0	1
NM_001101.3	672	+	0	1
NM_001101.3	673	+	0	1
NM_001101.3	674	+	0	1
NM_001101.3	675	+	0	1
NM_001101.3	676	+	0	1
NM_001101.3	677	+	0	1
NM_001101.3	678	+	0	1
NM_001101.3	679	+	0	1
NM_001101.3	680	+	0	1
NM_001101.3	681	+	0	1
NM_001101.3	682	+	0	1
NM_001101.3	683	+	0	1
NM_001101.3	684	+	0	1
NM_001101.3	685	+	0	1
NM_001101.3	686	+	0	1
NM_001101.3	687	+	0	1
NM_001101.3	688	+	0	1
NM_001101.3	689	+	0	1
NM_001101.3	690	+	0	1
NM_001101.3	691	+	0	1
NM_001101.3	692	+	0	1
NM_001101.3	693	+	0	1
NM_001101.3	694	+	0	1
NM_001101.3	695	+	0	1
NM_001101.3	696	+	0	1
NM_001101.3	697	+	0	1
NM_001101.3	698	+	0	1
NM_001101.3	699	+	0	1
NM_001101.3	700	+	0	1
NM_001101.3	701	+	0	1
NM_001101.3	702	+	0	1
NM_001101.3	703	+	0	1
NM_001101.3	704	+	0	1
NM_001101.3	705	+	0	1
NM_001101.3	706	+	0	1
NM_001101.3	707	+	0	1
NM_001101.3	708	+	0	1
NM_001101.3	709	+	0	1
NM_001101.3	710	+	0	1
NM_001101.3	711	+	0	1
NM_001101.3	712	+	0	1
NM_001101.3	713	+	0	1
NM_001101.3	714	+	0	1
NM_001101.3	715	+	0	1
NM_001101.3	716	+	0	1
NM_001101.3	717	+	0	1
NM_001101.3	718	+	0	1
NM_001101.3	719	+	0	1
NM_001101.3	720	+	0	1
NM_001101.3	721	+	0	1
NM_001101.3	722	+	0	1
NM_001101.3	723	+	0	1
NM_001101.3	724	+	0	1
NM_001101.3	725	+	0	1
NM_001101.3	726	+	0	1
NM_001101.3	727	+	0	1
NM_001101.3	728	+	0	1
NM_001101.3	729	+	0	1
NM_001101.3	730	+	0	1
NM_001101.3	731	+	0	1
NM_001101.3	732	+	0	1
NM_001101.3	733	+	0	1
NM_001101.3	734	+	0	1
NM_001101.3	735	+	0	1
NM_001101.3	736	+	0	1
NM_001101.3	737	+	0	1
NM_001101.3	738	+	0	1
NM_001101.3	739	+	0	1
NM_001101.3	740	+	0	1
NM_001101.3	741	+	0	1
NM_001101.3	742	+	0	1
NM_001101.3	743	+	0	1
NM_001101.3	744	+	0	1
NM_001101.3	745	+	0	1
NM_001101.3	746	+	0	1
NM_001101.3	747	+	0	1
NM_001101.3	748	+	0	1
NM_001101.3	749	+	0	1
NM_001101.3	750	+	0	1
NM_001101.3	751	+	0	1
NM_001101.3	752	+	0	1
NM_001101.3	753	+	0	1
NM_001101.3	754	+	0	1
NM_001101.3	755	+	0	1
NM_001101.3	756	+	0	1
NM_001101.3	757	+	0	1
NM_001101.3	758	+	0	1
NM_001101.3	759	+	0	1
NM_001101.3	760	+	0	1
NM_001101.3	761	+	0	1
NM_001101.3	762	+	0	1
NM_001101.3	763	+	0	1
NM_001101.3	764	+	0	1
NM_001101.3	765	+	0	1
NM_001101.3	766	+	0	1
NM_001101.3	767	+	0	1
NM_001101.3	768	+	0	1
NM_001101.3	769	+	0	1
NM_001101.3	770	+	0	1
NM_001101.3	771	+	0	1
NM_001101.3	772	+	0	1
NM_001101.3	773	+	0	1
NM_001101.3	774	+	0	1
NM_001101.3	775	+	0	1
NM_001101.3	776	+	0	1
NM_001101.3	777	+	0	1
NM_001101.3	778	+	0	1
NM_001101.3	779	+	0	1
NM_001101.3	780	+	0	1
NM_001101.3	781	+	0	1
NM_001101.3	782	+	0	1
NM_001101.3	783	+	0	1
NM_001101.3	784	+	0	1
NM_001101.3	785	+	0	1
NM_001101.3	786	+	0	1
NM_001101.3	787	+	0	1
NM_001101.3	788	+	0	1
NM_001101.3	789	+	0	1
NM_001101.3	790	+	0	1
NM_001101.3	791	+	0	1
NM_001101.3	792	+	0	1
NM_001101.3	793	+	0	1
NM_001101.3	794	+	0	1
NM_001101.3	795	+	0	1
NM_001101.3	796	+	0	1
NM_001101.3	797	+	0	1
NM_001101.3	798	+	0	1
NM_001101.3	799	+	0	1
NM_001101.3	800	+	0	1
NM_001101.3	801	+	0	1
NM_001101.3	802	+	0	1
NM_001101.3	803	+	0	1
NM_001101.3	804	+	0	1
NM_001101.3	805	+	0	1
NM_001101.3	806	+	0	1
NM_001101.3	807	+	0	1
NM_001101.3	808	+	0	1
NM_001101.3	809	+	0	1
NM_001101.3	810	+	0	1
NM_001101.3	811	+	0	1
NM_001101.3	812	+	0	1
NM_001101.3	813	+	0	1
NM_001101.3	814	+	0	1
NM_001101.3	815	+	0	1
NM_001101.3	816	+	0	1
NM_001101.3	817	+	0	1
NM_001101.3	818	+	0	1
NM_001101.3	819	+	0	1
NM_001101.3	820	+	0	1
NM_001101.3	821	+	0	1
NM_001101.3	822	+	0	1
NM_001101.3	823	+	0	1
NM_001101.3	824	+	0	1
NM_001101.3	825	+	0	1
NM_001101.3	826	+	0	1
NM_001101.3	827	+	0	1
NM_001101.3	828	+	0	1
NM_001101.3	829	+	0	1
NM_001101.3	830	+	0	1
NM_001101.3	831	+	0	1
NM_001101.3	832	+	0	1
NM_001101.3	833	+	0	1
NM_001101.3	834	+	0	1
NM_001101.3	835	+	0	1
NM_001101.3	836	+	0	1
NM_001101.3	837	+	0	1
NM_001101.3	838	+	0	1
NM_001101.3	839	+	0	1
NM_001101.3	840	+	0	1
NM_001101.3	841	+	0	1
NM_001101.3	842	+	0	1
NM_001101.3	843	+	0	1
NM_001101.3	844	+	0	1
NM_001101.3	845	+	0	1
NM_001101.3	846	+	0	1
NM_001101.3	847	+	0	1
NM_001101.3	848	+	0	1
NM_001101.3	849	+	0	1
NM_001101.3	850	+	0	1
NM_001101.3	851	+	0	1
NM_001101.3	852	+	0	1
NM_001101.3	853	+	0	1
NM_001101.3	854	+	0	1
NM_001101.3	855	+	0	1
NM_001101.3	856	+	0	1
NM_001101.3	857	+	0	1
NM_001101.3	858	+	0	1
NM_001101.3	859	+	0	1
NM_001101.3	860	+	0	1
NM_001101.3	861	+	0	1
NM_001101.3	862	+	0	1
NM_001101.3	863	+	0	1
NM_001101.3	864	+	0	1
NM_001101.3	865	+	0	1
NM_001101.3	866	+	0	1
NM_001101.3	867	+	0	1
NM_001101.3	868	+	0	1
NM_001101.3	869	+	0	1
NM_001101.3	870	+	0	1
NM_001101.3	871	+	0	1
NM_001101.3	872	+	0	1
