start	strand	target_basepairing_propensity
544	+	0.4715
545	+	0.501
546	+	0.5325
547	+	0.5365
548	+	0.537
549	+	0.5575
550	+	0.575
551	+	0.579
552	+	0.5775
553	+	0.5675
554	+	0.5915
555	+	0.613
556	+	0.6295
557	+	0.6275
558	+	0.611
559	+	0.6345
560	+	0.671
561	+	0.703
562	+	0.734
563	+	0.7615
564	+	0.7575
565	+	0.7185
566	+	0.718
567	+	0.7185
568	+	0.729
569	+	0.729
570	+	0.727
571	+	0.726
572	+	0.7315
573	+	0.722
574	+	0.68
575	+	0.637
576	+	0.5945
577	+	0.6095
578	+	0.6085
579	+	0.6135
580	+	0.6155
581	+	0.6195
582	+	0.6225
583	+	0.6265
584	+	0.6535
585	+	0.65
586	+	0.642
587	+	0.64
588	+	0.636
589	+	0.64
590	+	0.645
591	+	0.641
592	+	0.6455
593	+	0.6925
594	+	0.7335
595	+	0.748
596	+	0.7915
597	+	0.7925
598	+	0.821
599	+	0.814
600	+	0.8125
601	+	0.812
602	+	0.8005
603	+	0.7895
604	+	0.749
605	+	0.7735
606	+	0.766
607	+	0.7525
608	+	0.7565
609	+	0.752
610	+	0.7505
611	+	0.7585
612	+	0.754
613	+	0.7085
614	+	0.6695
615	+	0.6825
616	+	0.667
617	+	0.6485
618	+	0.642
619	+	0.6285
620	+	0.602
621	+	0.5745
622	+	0.559
623	+	0.5645
624	+	0.61
625	+	0.622
626	+	0.6325
627	+	0.618
628	+	0.5825
629	+	0.5405
630	+	0.493
631	+	0.446
632	+	0.432
633	+	0.467
634	+	0.5035
635	+	0.515
636	+	0.5265
637	+	0.5105
638	+	0.518
639	+	0.545
640	+	0.5485
641	+	0.5735
642	+	0.5985
643	+	0.5955
644	+	0.5835
645	+	0.585
646	+	0.5855
647	+	0.5965
648	+	0.591
649	+	0.627
650	+	0.666
651	+	0.705
652	+	0.713
653	+	0.6915
654	+	0.6865
655	+	0.693
656	+	0.6745
657	+	0.7085
658	+	0.7105
659	+	0.697
660	+	0.71
661	+	0.669
662	+	0.6295
663	+	0.6
664	+	0.5745
665	+	0.545
666	+	0.515
667	+	0.5265
668	+	0.5525
669	+	0.558
670	+	0.565
671	+	0.572
672	+	0.535
673	+	0.5195
674	+	0.4835
675	+	0.4425
676	+	0.465
677	+	0.461
678	+	0.47
679	+	0.4825
680	+	0.486
681	+	0.495
682	+	0.533
683	+	0.5695
684	+	0.609
685	+	0.634
686	+	0.636
687	+	0.6335
688	+	0.6365
689	+	0.6295
690	+	0.626
691	+	0.6235
692	+	0.6625
693	+	0.7035
694	+	0.7345
695	+	0.7625
696	+	0.756
697	+	0.7465
698	+	0.732
699	+	0.7225
700	+	0.721
701	+	0.7175
702	+	0.696
703	+	0.67
704	+	0.6445
705	+	0.6445
706	+	0.6695
707	+	0.6575
708	+	0.6665
709	+	0.671
710	+	0.654
711	+	0.653
712	+	0.636
713	+	0.5965
714	+	0.569
715	+	0.5595
716	+	0.563
717	+	0.5745
718	+	0.589
719	+	0.596
720	+	0.5585
721	+	0.5555
722	+	0.537
723	+	0.516
724	+	0.4935
725	+	0.472
726	+	0.45
727	+	0.4515
728	+	0.453
729	+	0.4545
730	+	0.4695
731	+	0.462
732	+	0.4575
733	+	0.4735
734	+	0.5075
735	+	0.517
736	+	0.4885
737	+	0.4425
738	+	0.414
739	+	0.402
740	+	0.434
741	+	0.4615
742	+	0.4925
743	+	0.529
744	+	0.5615
745	+	0.5835
746	+	0.6055
747	+	0.632
748	+	0.637
749	+	0.636
750	+	0.6395
751	+	0.6485
752	+	0.6775
753	+	0.6795
754	+	0.6485
755	+	0.659
756	+	0.6855
757	+	0.7225
758	+	0.7545
759	+	0.77
760	+	0.743
761	+	0.707
762	+	0.671
763	+	0.665
764	+	0.669
765	+	0.679
766	+	0.687
767	+	0.654
768	+	0.622
769	+	0.5885
770	+	0.558
771	+	0.558
772	+	0.559
773	+	0.577
774	+	0.6205
775	+	0.5955
776	+	0.5745
777	+	0.5575
778	+	0.523
779	+	0.5015
780	+	0.523
781	+	0.571
782	+	0.6175
783	+	0.606
784	+	0.617
785	+	0.593
786	+	0.572
787	+	0.6055
788	+	0.6385
789	+	0.6775
790	+	0.7115
791	+	0.6875
792	+	0.6835
793	+	0.6695
794	+	0.645
795	+	0.6535
796	+	0.6385
797	+	0.666
798	+	0.6735
799	+	0.6865
800	+	0.6975
801	+	0.6895
802	+	0.6815
803	+	0.703
804	+	0.682
805	+	0.6915
806	+	0.697
807	+	0.648
808	+	0.599
809	+	0.5545
810	+	0.51
811	+	0.493
812	+	0.4475
813	+	0.422
814	+	0.3965
815	+	0.3905
816	+	0.4085
817	+	0.361
818	+	0.383
819	+	0.3875
820	+	0.3935
821	+	0.3985
822	+	0.405
823	+	0.413
824	+	0.3895
825	+	0.36
826	+	0.334
827	+	0.3345
828	+	0.3345
829	+	0.378
830	+	0.4215
831	+	0.4635
832	+	0.5075
833	+	0.5505
834	+	0.597
835	+	0.599
836	+	0.6015
837	+	0.627
838	+	0.608
839	+	0.587
840	+	0.564
841	+	0.5625
842	+	0.5615
843	+	0.5595
844	+	0.6025
845	+	0.635
846	+	0.6755
847	+	0.714
848	+	0.753
849	+	0.707
850	+	0.661
851	+	0.6465
852	+	0.633
853	+	0.6205
854	+	0.574
855	+	0.5505
856	+	0.5265
857	+	0.5025
858	+	0.4785
859	+	0.4945
860	+	0.512
861	+	0.51
862	+	0.508
863	+	0.5045
864	+	0.4615
865	+	0.4345
866	+	0.4005
867	+	0.3665
868	+	0.3745
869	+	0.422
870	+	0.469
871	+	0.4875
872	+	0.5055
873	+	0.4835
874	+	0.486
875	+	0.485
876	+	0.493
877	+	0.5075
878	+	0.5525
879	+	0.547
880	+	0.5405
881	+	0.5055
882	+	0.51
883	+	0.512
884	+	0.5585
885	+	0.6025
886	+	0.6405
887	+	0.679
888	+	0.6705
889	+	0.654
890	+	0.621
891	+	0.6175
892	+	0.6155
893	+	0.651
894	+	0.6955
895	+	0.742
896	+	0.735
897	+	0.7195
898	+	0.6735
899	+	0.639
900	+	0.6045
901	+	0.598
902	+	0.595
903	+	0.594
904	+	0.5885
905	+	0.5825
906	+	0.58
907	+	0.5365
908	+	0.499
909	+	0.4685
910	+	0.455
911	+	0.4105
912	+	0.364
913	+	0.32
914	+	0.294
915	+	0.27
916	+	0.2905
917	+	0.3145
918	+	0.3425
919	+	0.348
920	+	0.3555
921	+	0.368
922	+	0.339
923	+	0.3225
924	+	0.305
925	+	0.311
926	+	0.314
927	+	0.3595
928	+	0.402
929	+	0.4445
930	+	0.455
931	+	0.467
932	+	0.4705
933	+	0.4895
934	+	0.4895
935	+	0.495
936	+	0.5025
937	+	0.4915
938	+	0.471
939	+	0.506
940	+	0.5405
941	+	0.5735
942	+	0.6025
943	+	0.62
944	+	0.5935
945	+	0.5835
946	+	0.58
947	+	0.5395
948	+	0.501
949	+	0.5035
950	+	0.5405
951	+	0.577
952	+	0.623
953	+	0.651
954	+	0.6335
955	+	0.6085
956	+	0.579
957	+	0.566
958	+	0.559
959	+	0.519
960	+	0.5195
961	+	0.5225
962	+	0.527
963	+	0.5315
964	+	0.581
965	+	0.544
966	+	0.5415
967	+	0.575
968	+	0.571
969	+	0.562
970	+	0.5505
971	+	0.542
972	+	0.533
973	+	0.5255
974	+	0.5285
975	+	0.525
976	+	0.5245
977	+	0.5615
978	+	0.5985
979	+	0.643
980	+	0.646
981	+	0.6425
982	+	0.6
983	+	0.5505
984	+	0.501
985	+	0.4985
986	+	0.498
987	+	0.5085
988	+	0.5565
989	+	0.5675
990	+	0.574
991	+	0.5385
992	+	0.5045
993	+	0.4735
994	+	0.484
995	+	0.502
996	+	0.5195
997	+	0.4855
998	+	0.462
999	+	0.4445
1000	+	0.4295
1001	+	0.4135
1002	+	0.445
1003	+	0.4765
1004	+	0.5035
1005	+	0.5295
1006	+	0.5275
1007	+	0.515
1008	+	0.5045
1009	+	0.471
1010	+	0.473
1011	+	0.5125
1012	+	0.5445
1013	+	0.5665
1014	+	0.581
1015	+	0.5695
1016	+	0.589
1017	+	0.623
1018	+	0.645
1019	+	0.6555
1020	+	0.663
1021	+	0.67
1022	+	0.6765
1023	+	0.652
1024	+	0.6295
1025	+	0.6135
1026	+	0.587
1027	+	0.5605
1028	+	0.532
1029	+	0.5265
1030	+	0.4845
1031	+	0.479
1032	+	0.48
1033	+	0.4955
1034	+	0.512
1035	+	0.5535
1036	+	0.564
1037	+	0.568
1038	+	0.5405
1039	+	0.5135
1040	+	0.4815
1041	+	0.4515
1042	+	0.444
1043	+	0.4755
1044	+	0.505
1045	+	0.529
1046	+	0.5505
1047	+	0.5415
1048	+	0.581
1049	+	0.622
1050	+	0.6675
1051	+	0.6575
1052	+	0.643
1053	+	0.6215
1054	+	0.6195
1055	+	0.619
1056	+	0.5995
1057	+	0.6015
1058	+	0.5985
1059	+	0.592
1060	+	0.5955
1061	+	0.6015
1062	+	0.577
1063	+	0.556
1064	+	0.5395
1065	+	0.5315
1066	+	0.5415
1067	+	0.5725
1068	+	0.5625
1069	+	0.5405
1070	+	0.531
1071	+	0.541
1072	+	0.553
1073	+	0.5555
1074	+	0.536
1075	+	0.489
1076	+	0.4665
1077	+	0.433
1078	+	0.437
1079	+	0.4415
1080	+	0.4365
1081	+	0.4295
1082	+	0.429
1083	+	0.4265
1084	+	0.424
1085	+	0.4035
1086	+	0.371
1087	+	0.347
1088	+	0.3215
1089	+	0.3035
1090	+	0.274
1091	+	0.2445
1092	+	0.2275
1093	+	0.2105
1094	+	0.227
1095	+	0.2595
1096	+	0.2575
1097	+	0.2935
1098	+	0.3305
1099	+	0.369
1100	+	0.4085
1101	+	0.4475
1102	+	0.481
1103	+	0.511
1104	+	0.4985
1105	+	0.4955
1106	+	0.4895
1107	+	0.53
1108	+	0.5655
1109	+	0.6055
1110	+	0.6435
1111	+	0.682
1112	+	0.7095
1113	+	0.746
1114	+	0.7075
1115	+	0.7075
1116	+	0.7365
1117	+	0.6905
1118	+	0.6435
1119	+	0.6255
1120	+	0.6175
1121	+	0.61
1122	+	0.6015
1123	+	0.6025
1124	+	0.6485
1125	+	0.659
1126	+	0.669
1127	+	0.634
1128	+	0.595
1129	+	0.59
1130	+	0.5905
1131	+	0.585
1132	+	0.579
1133	+	0.574
1134	+	0.6105
1135	+	0.5885
1136	+	0.5985
1137	+	0.648
1138	+	0.698
1139	+	0.717
1140	+	0.722
1141	+	0.7275
1142	+	0.7365
1143	+	0.736
1144	+	0.693
1145	+	0.6865
1146	+	0.676
1147	+	0.667
1148	+	0.665
1149	+	0.6275
1150	+	0.583
1151	+	0.543
1152	+	0.5045
1153	+	0.4685
1154	+	0.472
1155	+	0.501
1156	+	0.5005
1157	+	0.4925
1158	+	0.484
1159	+	0.474
1160	+	0.4715
1161	+	0.467
1162	+	0.456
1163	+	0.446
1164	+	0.477
1165	+	0.5105
1166	+	0.548
1167	+	0.5875
1168	+	0.6265
1169	+	0.667
1170	+	0.7045
1171	+	0.7055
1172	+	0.7075
1173	+	0.707
1174	+	0.6675
1175	+	0.6315
1176	+	0.635
1177	+	0.64
1178	+	0.6065
1179	+	0.609
1180	+	0.6135
1181	+	0.623
1182	+	0.6355
1183	+	0.647
1184	+	0.6485
1185	+	0.644
1186	+	0.614
1187	+	0.5825
1188	+	0.5475
1189	+	0.5185
1190	+	0.485
1191	+	0.4905
1192	+	0.5095
1193	+	0.536
1194	+	0.5625
1195	+	0.5815
1196	+	0.564
1197	+	0.533
1198	+	0.565
1199	+	0.562
1200	+	0.5365
1201	+	0.501
1202	+	0.4645
1203	+	0.426
1204	+	0.3915
1205	+	0.386
1206	+	0.4165
1207	+	0.446
1208	+	0.481
1209	+	0.5035
1210	+	0.5365
1211	+	0.57
1212	+	0.5885
1213	+	0.5995
1214	+	0.579
1215	+	0.6025
1216	+	0.581
1217	+	0.606
1218	+	0.6075
1219	+	0.612
1220	+	0.637
1221	+	0.631
1222	+	0.626
1223	+	0.625
1224	+	0.6695
1225	+	0.688
1226	+	0.696
1227	+	0.7025
1228	+	0.659
1229	+	0.6585
1230	+	0.6275
1231	+	0.631
1232	+	0.634
1233	+	0.629
1234	+	0.6555
1235	+	0.6465
1236	+	0.6845
1237	+	0.693
1238	+	0.687
1239	+	0.691
1240	+	0.6705
1241	+	0.6825
1242	+	0.7125
1243	+	0.73
1244	+	0.685
1245	+	0.66
1246	+	0.6485
1247	+	0.646
1248	+	0.688
1249	+	0.6715
1250	+	0.6835
1251	+	0.6515
1252	+	0.6255
1253	+	0.62
1254	+	0.613
1255	+	0.603
1256	+	0.5835
1257	+	0.5635
1258	+	0.547
1259	+	0.504
1260	+	0.4875
1261	+	0.514
1262	+	0.523
1263	+	0.5435
1264	+	0.5785
1265	+	0.592
1266	+	0.5655
1267	+	0.5305
1268	+	0.5015
1269	+	0.4885
1270	+	0.47
1271	+	0.462
1272	+	0.4425
1273	+	0.4105
1274	+	0.38
1275	+	0.3545
1276	+	0.331
1277	+	0.3495
1278	+	0.3785
1279	+	0.423
1280	+	0.466
1281	+	0.47
1282	+	0.448
1283	+	0.4265
1284	+	0.4265
1285	+	0.405
1286	+	0.4135
1287	+	0.414
1288	+	0.4195
1289	+	0.425
1290	+	0.433
1291	+	0.4465
1292	+	0.4705
1293	+	0.494
1294	+	0.5115
1295	+	0.531
1296	+	0.535
1297	+	0.4875
1298	+	0.4395
1299	+	0.398
1300	+	0.3565
1301	+	0.3335
1302	+	0.337
1303	+	0.361
1304	+	0.346
1305	+	0.3535
1306	+	0.383
1307	+	0.421
1308	+	0.448
1309	+	0.48
1310	+	0.5185
1311	+	0.5
1312	+	0.4775
1313	+	0.46
1314	+	0.4565
1315	+	0.4505
1316	+	0.492
1317	+	0.5315
1318	+	0.5805
1319	+	0.6225
1320	+	0.66
1321	+	0.6405
1322	+	0.6155
1323	+	0.594
1324	+	0.601
1325	+	0.6075
1326	+	0.5755
1327	+	0.54
1328	+	0.504
1329	+	0.457
1330	+	0.4215
1331	+	0.4335
1332	+	0.445
1333	+	0.443
1334	+	0.4685
1335	+	0.4945
1336	+	0.4895
1337	+	0.4995
1338	+	0.4995
1339	+	0.49
1340	+	0.4475
1341	+	0.444
1342	+	0.4515
1343	+	0.432
1344	+	0.4105
1345	+	0.3895
1346	+	0.381
1347	+	0.374
1348	+	0.3605
1349	+	0.3625
1350	+	0.352
1351	+	0.3425
1352	+	0.3295
1353	+	0.327
1354	+	0.289
1355	+	0.2505
1356	+	0.2095
1357	+	0.1615
1358	+	0.153
1359	+	0.1525
1360	+	0.191
1361	+	0.239
1362	+	0.2775
1363	+	0.306
1364	+	0.3285
1365	+	0.3525
1366	+	0.375
1367	+	0.397
1368	+	0.401
1369	+	0.4045
1370	+	0.4335
1371	+	0.4665
1372	+	0.5075
1373	+	0.547
1374	+	0.577
1375	+	0.5855
1376	+	0.59
1377	+	0.5915
1378	+	0.591
1379	+	0.5925
1380	+	0.5895
1381	+	0.5795
1382	+	0.571
1383	+	0.574
1384	+	0.5815
1385	+	0.5545
1386	+	0.532
1387	+	0.5115
1388	+	0.513
1389	+	0.519
1390	+	0.4955
1391	+	0.468
1392	+	0.4335
1393	+	0.399
1394	+	0.41
1395	+	0.4435
1396	+	0.483
1397	+	0.521
1398	+	0.525
1399	+	0.533
1400	+	0.5435
1401	+	0.5195
1402	+	0.5045
1403	+	0.477
1404	+	0.4445
1405	+	0.4505
1406	+	0.45
1407	+	0.45
1408	+	0.4535
1409	+	0.4425
1410	+	0.4355
1411	+	0.428
1412	+	0.4285
1413	+	0.4485
1414	+	0.4325
1415	+	0.414
1416	+	0.395
1417	+	0.3755
1418	+	0.333
1419	+	0.3335
1420	+	0.3345
1421	+	0.368
1422	+	0.3865
1423	+	0.3785
1424	+	0.386
1425	+	0.393
1426	+	0.389
1427	+	0.3805
1428	+	0.3875
1429	+	0.417
1430	+	0.4535
1431	+	0.494
1432	+	0.5295
1433	+	0.519
1434	+	0.5125
1435	+	0.508
1436	+	0.504
1437	+	0.505
1438	+	0.533
1439	+	0.515
1440	+	0.497
1441	+	0.4885
1442	+	0.488
1443	+	0.5265
1444	+	0.561
1445	+	0.5905
1446	+	0.6085
1447	+	0.633
1448	+	0.636
1449	+	0.6245
1450	+	0.619
1451	+	0.622
1452	+	0.623
1453	+	0.6505
1454	+	0.664
1455	+	0.642
1456	+	0.6245
1457	+	0.607
1458	+	0.5875
1459	+	0.606
1460	+	0.625
1461	+	0.624
1462	+	0.624
1463	+	0.584
1464	+	0.5375
1465	+	0.491
1466	+	0.4755
1467	+	0.4975
1468	+	0.524
1469	+	0.5485
1470	+	0.565
1471	+	0.534
1472	+	0.539
1473	+	0.544
1474	+	0.559
1475	+	0.608
1476	+	0.6475
1477	+	0.6585
1478	+	0.664
1479	+	0.6555
1480	+	0.6325
1481	+	0.638
1482	+	0.644
1483	+	0.6905
1484	+	0.737
1485	+	0.7845
1486	+	0.827
1487	+	0.8075
1488	+	0.8045
1489	+	0.809
1490	+	0.8065
1491	+	0.8345
1492	+	0.8065
1493	+	0.802
1494	+	0.793
1495	+	0.762
1496	+	0.734
1497	+	0.748
1498	+	0.7585
1499	+	0.7185
1500	+	0.724
1501	+	0.711
1502	+	0.665
1503	+	0.658
1504	+	0.651
1505	+	0.644
1506	+	0.5955
1507	+	0.614
1508	+	0.6175
1509	+	0.612
1510	+	0.609
1511	+	0.5695
1512	+	0.553
1513	+	0.515
1514	+	0.5245
1515	+	0.556
1516	+	0.5875
1517	+	0.5995
1518	+	0.574
1519	+	0.5795
1520	+	0.5885
1521	+	0.5935
1522	+	0.6415
1523	+	0.616
1524	+	0.616
1525	+	0.6095
1526	+	0.614
1527	+	0.5995
1528	+	0.58
1529	+	0.571
1530	+	0.5675
1531	+	0.5995
1532	+	0.6445
1533	+	0.6865
1534	+	0.6855
1535	+	0.684
1536	+	0.6835
1537	+	0.6875
1538	+	0.7095
1539	+	0.725
