start	strand	target_basepairing_propensity
3935	+	0.4295
3936	+	0.412
3941	+	0.45
3978	+	0.634
3996	+	0.447
3997	+	0.4505
4081	+	0.7015
4085	+	0.631
4154	+	0.6065
4155	+	0.599
4156	+	0.575
4176	+	0.587
4187	+	0.622
4198	+	0.5705
4199	+	0.571
4246	+	0.46
4270	+	0.657
4283	+	0.5295
4284	+	0.5155
4285	+	0.4905
4292	+	0.403
4293	+	0.448
4341	+	0.513
4374	+	0.661
4395	+	0.5645
4403	+	0.565
4425	+	0.632
4430	+	0.765
4457	+	0.6595
4472	+	0.4955
4473	+	0.4895
4526	+	0.529
4527	+	0.519
4567	+	0.353
4572	+	0.364
4615	+	0.6305
4652	+	0.6395
4727	+	0.468
4728	+	0.4235
4752	+	0.379
4778	+	0.508
4841	+	0.605
4842	+	0.624
5060	+	0.726
5061	+	0.697
5065	+	0.5345
5066	+	0.5005
5090	+	0.5735
5091	+	0.5925
5194	+	0.55
5204	+	0.4065
5205	+	0.435
5206	+	0.4345
5213	+	0.4475
5246	+	0.585
5298	+	0.493
5433	+	0.6805
5477	+	0.6745
5478	+	0.631
5501	+	0.6375
5502	+	0.633
5585	+	0.515
5615	+	0.6495
5626	+	0.5795
5627	+	0.5775
5753	+	0.6325
5768	+	0.3415
5772	+	0.195
5806	+	0.44
5822	+	0.5105
5849	+	0.537
5853	+	0.517
5854	+	0.561
5875	+	0.589
5876	+	0.58
5891	+	0.431
5916	+	0.738
5948	+	0.4475
5992	+	0.5735
6007	+	0.3075
6050	+	0.747
6067	+	0.4375
6089	+	0.591
6110	+	0.446
6133	+	0.486
6161	+	0.565
6185	+	0.699
6194	+	0.6725
6206	+	0.675
6242	+	0.5185
6254	+	0.4985
6259	+	0.5665
6292	+	0.707
6293	+	0.6755
6303	+	0.5105
6310	+	0.4385
6376	+	0.4635
6377	+	0.4675
6402	+	0.604
6403	+	0.627
6419	+	0.4905
6443	+	0.683
6444	+	0.6685
6476	+	0.6205
6484	+	0.6305
6496	+	0.401
6497	+	0.3695
6498	+	0.341
6569	+	0.552
6602	+	0.651
6603	+	0.6325
6686	+	0.3735
6727	+	0.5025
6802	+	0.711
6815	+	0.673
6841	+	0.5835
6866	+	0.5955
6917	+	0.627
6925	+	0.4775
7158	+	0.356
7167	+	0.4785
7187	+	0.483
7362	+	0.6785
7427	+	0.524
7428	+	0.5235
7484	+	0.636
7568	+	0.6385
7580	+	0.7645
7676	+	0.6605
7677	+	0.667
7687	+	0.3485
7763	+	0.6345
7773	+	0.7255
7774	+	0.717
7785	+	0.5215
7841	+	0.634
7880	+	0.7545
7885	+	0.687
7886	+	0.6865
7906	+	0.525
7907	+	0.5205
8009	+	0.672
8010	+	0.663
8064	+	0.6235
8065	+	0.5965
8066	+	0.561
8072	+	0.378
8073	+	0.345
8107	+	0.5175
8184	+	0.7085
8189	+	0.627
8210	+	0.696
8279	+	0.5795
8286	+	0.4935
8287	+	0.4945
8356	+	0.557
8357	+	0.566
8358	+	0.574
8390	+	0.594
8422	+	0.5845
8423	+	0.578
8427	+	0.4375
8444	+	0.397
8445	+	0.428
8446	+	0.4275
8512	+	0.632
8534	+	0.5655
8535	+	0.583
8567	+	0.5615
8636	+	0.4895
8658	+	0.4365
8732	+	0.5095
8789	+	0.626
8944	+	0.567
8945	+	0.526
9011	+	0.505
9081	+	0.5825
9213	+	0.651
9316	+	0.7355
9694	+	0.48
9727	+	0.5275
9799	+	0.6085
9803	+	0.473
9807	+	0.525
9817	+	0.528
9949	+	0.635
10005	+	0.2805
10045	+	0.508
10046	+	0.507
10047	+	0.5225
10067	+	0.51
10281	+	0.585
10282	+	0.6025
10599	+	0.5235
10672	+	0.755
10800	+	0.519
10837	+	0.635
10838	+	0.604
10851	+	0.5715
10852	+	0.5915
10950	+	0.64
10961	+	0.524
10962	+	0.5085
11067	+	0.3575
11068	+	0.353
11132	+	0.53
11281	+	0.5935
11282	+	0.575
11402	+	0.6295
11759	+	0.488
11771	+	0.7195
11792	+	0.71
11804	+	0.565
11825	+	0.607
11826	+	0.6325
11839	+	0.5055
11900	+	0.5895
11948	+	0.505
11970	+	0.6745
11971	+	0.6745
11972	+	0.6415
11973	+	0.601
12025	+	0.514
12042	+	0.459
12176	+	0.6215
12177	+	0.6155
12178	+	0.5885
12206	+	0.6705
12249	+	0.663
12250	+	0.6615
12276	+	0.624
12284	+	0.53
12313	+	0.495
12314	+	0.515
12358	+	0.538
12449	+	0.5535
12485	+	0.4475
12486	+	0.49
12487	+	0.4885
12534	+	0.699
12563	+	0.721
12564	+	0.704
12582	+	0.678
12656	+	0.7615
12723	+	0.521
12769	+	0.4105
12818	+	0.4925
12905	+	0.6785
12914	+	0.6855
12938	+	0.752
12946	+	0.604
12955	+	0.5515
13076	+	0.635
13085	+	0.619
13255	+	0.5605
13262	+	0.5815
13279	+	0.7215
13280	+	0.6835
13296	+	0.5395
13340	+	0.649
13341	+	0.613
13342	+	0.584
13373	+	0.6195
13444	+	0.5285
13540	+	0.4355
13558	+	0.624
13566	+	0.406
13567	+	0.377
13568	+	0.344
13592	+	0.6465
13593	+	0.614
13670	+	0.5475
13711	+	0.592
13780	+	0.657
13845	+	0.5745
13846	+	0.5595
13850	+	0.4905
13894	+	0.6745
13895	+	0.662
13896	+	0.6265
13919	+	0.342
13920	+	0.3435
13980	+	0.5165
13981	+	0.512
13982	+	0.471
14010	+	0.5995
14090	+	0.606
14205	+	0.5595
14232	+	0.574
14233	+	0.5775
14259	+	0.5645
14260	+	0.542
14281	+	0.557
14307	+	0.44
14352	+	0.6565
14412	+	0.621
14413	+	0.637
14414	+	0.6625
14496	+	0.5105
14590	+	0.7455
14642	+	0.283
14650	+	0.405
14668	+	0.3385
14730	+	0.6155
14731	+	0.5795
14917	+	0.6295
14941	+	0.639
15012	+	0.5055
15013	+	0.53
15041	+	0.485
15069	+	0.502
15137	+	0.468
15138	+	0.4455
15139	+	0.4335
15148	+	0.421
15196	+	0.444
15225	+	0.684
15226	+	0.6825
15227	+	0.6735
15248	+	0.542
15249	+	0.528
15280	+	0.5695
15340	+	0.528
15413	+	0.6725
15445	+	0.6485
15559	+	0.542
15560	+	0.5075
15618	+	0.664
15670	+	0.7205
15756	+	0.5675
15785	+	0.468
15786	+	0.473
15810	+	0.5415
15811	+	0.5625
15838	+	0.5025
15880	+	0.4945
15963	+	0.6655
15964	+	0.631
15965	+	0.5855
16030	+	0.427
16086	+	0.424
16297	+	0.7035
16333	+	0.556
16432	+	0.5095
16441	+	0.5175
16495	+	0.5445
16496	+	0.5165
16497	+	0.493
16560	+	0.483
16598	+	0.51
16622	+	0.619
16630	+	0.584
16651	+	0.6665
16726	+	0.698
16749	+	0.4495
16780	+	0.7585
16781	+	0.729
16782	+	0.6905
16789	+	0.518
16796	+	0.5855
16817	+	0.563
16818	+	0.5285
16819	+	0.5145
16867	+	0.538
16872	+	0.452
17016	+	0.64
17024	+	0.4965
17025	+	0.497
17039	+	0.5645
17040	+	0.6075
17181	+	0.76
17182	+	0.727
17200	+	0.337
17248	+	0.756
17254	+	0.74
17295	+	0.6275
17339	+	0.698
17355	+	0.4325
17503	+	0.7725
17504	+	0.808
17555	+	0.611
17599	+	0.691
17608	+	0.6715
17614	+	0.737
17632	+	0.5145
17633	+	0.483
17690	+	0.5775
17736	+	0.5325
17737	+	0.5115
17784	+	0.524
17807	+	0.5275
17858	+	0.667
17867	+	0.5275
17889	+	0.535
17919	+	0.577
17920	+	0.5825
17987	+	0.652
18023	+	0.711
18024	+	0.7015
18043	+	0.5375
18112	+	0.64
18118	+	0.5945
18119	+	0.608
18199	+	0.703
18200	+	0.7085
18433	+	0.552
18457	+	0.5745
18481	+	0.4205
18510	+	0.669
18521	+	0.5805
18541	+	0.5705
18542	+	0.5715
18543	+	0.603
18616	+	0.4845
18617	+	0.5185
18779	+	0.6025
18948	+	0.5715
18970	+	0.4895
18991	+	0.605
19024	+	0.398
19093	+	0.658
19102	+	0.629
19103	+	0.635
19144	+	0.5795
19281	+	0.694
19285	+	0.65
19315	+	0.512
19316	+	0.5285
19335	+	0.5835
19336	+	0.5655
19386	+	0.541
19387	+	0.5465
19422	+	0.582
19552	+	0.633
19607	+	0.587
19608	+	0.5995
19629	+	0.472
19698	+	0.652
19699	+	0.621
19730	+	0.7955
19731	+	0.75
19735	+	0.563
19736	+	0.514
19789	+	0.6475
19807	+	0.628
19808	+	0.641
19864	+	0.538
19865	+	0.5275
19927	+	0.575
19937	+	0.5505
20004	+	0.5535
20044	+	0.6345
20071	+	0.6065
20115	+	0.5385
20116	+	0.5415
20117	+	0.5445
20140	+	0.3455
20171	+	0.6325
20193	+	0.5825
20209	+	0.6025
20222	+	0.6665
20228	+	0.605
20275	+	0.71
20365	+	0.857
20425	+	0.6375
20426	+	0.632
20427	+	0.6125
20450	+	0.5725
20510	+	0.688
20517	+	0.7085
20518	+	0.704
20554	+	0.663
20576	+	0.4635
20599	+	0.4445
20615	+	0.5935
20628	+	0.495
20629	+	0.5155
20683	+	0.7385
20684	+	0.7355
20690	+	0.5885
20705	+	0.4505
20706	+	0.4735
20720	+	0.4995
20721	+	0.512
20749	+	0.486
20772	+	0.6795
20773	+	0.6975
20799	+	0.383
20863	+	0.558
21004	+	0.655
21046	+	0.516
21047	+	0.5235
21048	+	0.528
21057	+	0.402
21058	+	0.384
21062	+	0.329
21063	+	0.3605
21073	+	0.524
21113	+	0.509
21114	+	0.4695
21144	+	0.7605
21277	+	0.6025
21290	+	0.5185
21315	+	0.6565
21339	+	0.412
21382	+	0.504
21394	+	0.576
21423	+	0.584
21424	+	0.552
21434	+	0.725
21466	+	0.637
21488	+	0.659
21489	+	0.6755
21533	+	0.554
21662	+	0.553
21926	+	0.6105
21980	+	0.629
21981	+	0.632
21982	+	0.634
21989	+	0.5405
21990	+	0.5475
22002	+	0.607
22084	+	0.475
22085	+	0.439
22100	+	0.319
22101	+	0.2795
22102	+	0.3005
22145	+	0.4265
22146	+	0.405
22257	+	0.4915
22372	+	0.655
22373	+	0.6725
22383	+	0.4035
22384	+	0.4165
22434	+	0.528
22438	+	0.44
22451	+	0.5875
22467	+	0.5815
22468	+	0.546
22469	+	0.5155
22482	+	0.4385
22540	+	0.501
22697	+	0.5355
22702	+	0.4935
22767	+	0.661
22782	+	0.613
22789	+	0.5335
22811	+	0.529
22925	+	0.596
22953	+	0.6675
23123	+	0.53
23124	+	0.5345
23125	+	0.539
23144	+	0.6295
23145	+	0.6215
23146	+	0.624
23150	+	0.5885
23210	+	0.481
23211	+	0.4635
23212	+	0.462
23347	+	0.6235
23472	+	0.413
23646	+	0.6665
23647	+	0.671
23689	+	0.297
23715	+	0.5545
23830	+	0.442
23867	+	0.4755
23868	+	0.4765
23869	+	0.5085
23897	+	0.3845
23901	+	0.4545
23909	+	0.2405
23910	+	0.195
23924	+	0.347
23952	+	0.4745
23971	+	0.2575
23972	+	0.2845
24014	+	0.6275
24044	+	0.705
24099	+	0.6
24100	+	0.596
24144	+	0.599
24225	+	0.7295
24243	+	0.547
24300	+	0.572
24301	+	0.579
24302	+	0.5815
24338	+	0.5215
24339	+	0.546
24379	+	0.57
24380	+	0.589
24402	+	0.4905
24403	+	0.514
24418	+	0.5585
24431	+	0.5435
24472	+	0.5835
24497	+	0.6025
24516	+	0.7355
24546	+	0.7335
24591	+	0.64
24623	+	0.5755
24624	+	0.5495
24652	+	0.6185
24653	+	0.634
24654	+	0.613
24673	+	0.5635
24756	+	0.563
24757	+	0.604
24796	+	0.5095
24797	+	0.521
24832	+	0.663
24858	+	0.543
24879	+	0.477
25001	+	0.655
25072	+	0.5785
25080	+	0.4585
25081	+	0.4925
25082	+	0.499
25086	+	0.418
25120	+	0.615
25153	+	0.5555
25171	+	0.635
25172	+	0.618
25304	+	0.674
25337	+	0.6215
25346	+	0.6285
25362	+	0.525
25427	+	0.6045
25552	+	0.512
25553	+	0.5155
25567	+	0.3785
25568	+	0.351
25569	+	0.313
25725	+	0.626
25765	+	0.673
25777	+	0.5085
25778	+	0.539
25779	+	0.5385
25943	+	0.727
25944	+	0.7075
25945	+	0.697
25962	+	0.697
25963	+	0.694
26074	+	0.6155
26075	+	0.6315
26105	+	0.6305
26379	+	0.4585
26380	+	0.495
26410	+	0.612
26411	+	0.574
26412	+	0.5355
26450	+	0.678
26459	+	0.616
26541	+	0.665
26542	+	0.666
26543	+	0.666
26720	+	0.5195
26845	+	0.415
26905	+	0.5365
26997	+	0.4855
27001	+	0.403
27039	+	0.449
27114	+	0.5725
27119	+	0.3495
27247	+	0.323
27279	+	0.5615
27292	+	0.3765
27293	+	0.3745
27294	+	0.373
27322	+	0.6845
27365	+	0.5535
27376	+	0.4135
27377	+	0.385
27465	+	0.6945
27466	+	0.687
27529	+	0.31
27585	+	0.664
27586	+	0.665
27625	+	0.477
27721	+	0.6295
27722	+	0.6355
27726	+	0.5965
27850	+	0.7285
27865	+	0.4435
27876	+	0.4375
28002	+	0.6325
28028	+	0.554
28029	+	0.5725
28074	+	0.779
28152	+	0.501
28237	+	0.649
28245	+	0.6755
28250	+	0.509
28251	+	0.4755
28272	+	0.561
28273	+	0.602
28282	+	0.4865
28363	+	0.664
28364	+	0.632
28445	+	0.488
28500	+	0.501
28550	+	0.5645
28551	+	0.603
28556	+	0.5895
28631	+	0.6435
28678	+	0.361
28679	+	0.3515
28756	+	0.4065
28757	+	0.418
28837	+	0.441
28949	+	0.4885
28950	+	0.4765
28961	+	0.44
28983	+	0.3655
28997	+	0.347
29031	+	0.783
29032	+	0.781
29033	+	0.7665
29048	+	0.5705
29094	+	0.615
29104	+	0.466
29147	+	0.523
29160	+	0.526
29264	+	0.5915
29276	+	0.5795
29284	+	0.4495
29291	+	0.4195
29333	+	0.3565
29334	+	0.3545
29357	+	0.128
29358	+	0.1735
29359	+	0.1735
29366	+	0.278
29367	+	0.274
29368	+	0.27
29385	+	0.367
29414	+	0.5575
29421	+	0.5985
29465	+	0.4905
29511	+	0.4715
29548	+	0.613
29691	+	0.609
29791	+	0.415123210732457
29792	+	0.426845432954679
29850	+	0.392503294571407
29851	+	0.390922016899048
29852	+	0.391922016899048
29853	+	0.391499779038387
29854	+	0.39358311237172
29855	+	0.390825035145558
29856	+	0.387480553540206
29857	+	0.393036109095762
29858	+	0.383945200004853
29859	+	0.380406271794539
29860	+	0.37618549257376
29861	+	0.378159940889672
29862	+	0.376909940889672
29863	+	0.364359333602223
29864	+	0.354564011964796
29865	+	0.360525856161934
29866	+	0.345942522828601
29867	+	0.343561570447648
29868	+	0.332847284733363
29869	+	0.323057074943153
29870	+	0.321494574943153
29871	+	0.314163196644032
29872	+	0.299163196644032
29873	+	0.280197679402653
29874	+	0.255197679402653
29875	+	0.236679160884135
29876	+	0.219371468576442
29877	+	0.199371468576442
29878	+	0.186871468576442
29879	+	0.169480164228616
29880	+	0.155843800592253
13	-	0.513436277360069
45	-	0.629130266729629
80	-	0.611147998909116
204	-	0.567
242	-	0.659
290	-	0.46
320	-	0.7115
328	-	0.784
329	-	0.767
360	-	0.6685
448	-	0.766
449	-	0.7485
696	-	0.756
737	-	0.4425
738	-	0.414
911	-	0.4105
930	-	0.455
1031	-	0.479
1032	-	0.48
1056	-	0.5995
1085	-	0.4035
1086	-	0.371
1092	-	0.2275
1155	-	0.501
1219	-	0.612
1274	-	0.38
1275	-	0.3545
1296	-	0.535
1297	-	0.4875
1313	-	0.46
1372	-	0.5075
1485	-	0.7845
1668	-	0.577
1696	-	0.759
1697	-	0.755
1706	-	0.588
1707	-	0.5985
1708	-	0.6275
1727	-	0.585
1728	-	0.5865
1748	-	0.5255
1793	-	0.5265
1794	-	0.5335
1867	-	0.6135
1875	-	0.78
1909	-	0.5615
1910	-	0.565
1951	-	0.4165
1952	-	0.4
1987	-	0.674
2036	-	0.7445
2118	-	0.653
2128	-	0.674
2172	-	0.683
2190	-	0.761
2220	-	0.688
2304	-	0.27
2322	-	0.6795
2323	-	0.7165
2324	-	0.719
2330	-	0.5455
2381	-	0.3905
2394	-	0.454
2555	-	0.446
2617	-	0.4585
2741	-	0.522
2742	-	0.5085
2795	-	0.4105
2796	-	0.3865
2915	-	0.4905
2957	-	0.6585
2991	-	0.6385
3009	-	0.418
3038	-	0.457
3090	-	0.6045
3146	-	0.6885
3153	-	0.828
3350	-	0.5965
3351	-	0.597
3362	-	0.618
3457	-	0.5185
3580	-	0.553
3581	-	0.5595
3680	-	0.6405
3681	-	0.653
3727	-	0.5875
3728	-	0.596
3729	-	0.6145
3752	-	0.6475
3760	-	0.566
3801	-	0.395
3829	-	0.623
3837	-	0.5175
3838	-	0.515
3839	-	0.5055
3909	-	0.51
4033	-	0.681
4100	-	0.5025
4153	-	0.578
4154	-	0.6065
4217	-	0.5085
4268	-	0.5885
4326	-	0.3465
4327	-	0.3615
4381	-	0.564
4391	-	0.6345
4465	-	0.488
4533	-	0.4475
4534	-	0.4275
4539	-	0.4695
4540	-	0.4835
4643	-	0.6715
4693	-	0.4815
4699	-	0.497
4769	-	0.5185
4770	-	0.548
4848	-	0.6705
4926	-	0.5495
4948	-	0.634
4952	-	0.737
4980	-	0.4445
5049	-	0.674
5063	-	0.615
5121	-	0.7795
5122	-	0.775
5128	-	0.5915
5129	-	0.5865
5162	-	0.622
5163	-	0.6145
5192	-	0.5695
5193	-	0.573
5258	-	0.5145
5337	-	0.434
5397	-	0.646
5398	-	0.675
5475	-	0.699
5489	-	0.677
5590	-	0.5075
5604	-	0.74
5678	-	0.5375
5679	-	0.5395
5730	-	0.768
5801	-	0.597
5822	-	0.5105
5866	-	0.518
5867	-	0.4995
5932	-	0.384
5987	-	0.578
6050	-	0.747
6051	-	0.7385
6057	-	0.5705
6078	-	0.45
6089	-	0.591
6144	-	0.5385
6145	-	0.5635
6146	-	0.587
6203	-	0.6225
6204	-	0.642
6241	-	0.564
6307	-	0.387
6342	-	0.6905
6518	-	0.3755
6623	-	0.4625
6647	-	0.674
6701	-	0.4855
6702	-	0.505
6749	-	0.6985
6760	-	0.3685
6782	-	0.4905
6786	-	0.6335
6791	-	0.693
6812	-	0.68
6813	-	0.6885
6894	-	0.536
6895	-	0.512
6912	-	0.531
6920	-	0.548
6935	-	0.4205
6936	-	0.3945
6937	-	0.37
6961	-	0.5525
6966	-	0.6385
6967	-	0.669
6968	-	0.6825
6982	-	0.546
6995	-	0.4675
7016	-	0.4735
7024	-	0.7075
7025	-	0.7505
7037	-	0.751
7079	-	0.405
7138	-	0.677
7151	-	0.423
7160	-	0.3825
7178	-	0.691
7201	-	0.514
7208	-	0.732
7209	-	0.695
7220	-	0.51
7229	-	0.623
7230	-	0.6195
7251	-	0.311
7252	-	0.334
7253	-	0.3525
7267	-	0.529
7268	-	0.5485
7278	-	0.6725
7279	-	0.699
7280	-	0.7015
7317	-	0.6935
7318	-	0.711
7319	-	0.7075
7328	-	0.6275
7329	-	0.6165
7340	-	0.6025
7341	-	0.587
7399	-	0.6045
7428	-	0.5235
7437	-	0.51
7438	-	0.5555
7569	-	0.6625
7570	-	0.654
7599	-	0.6015
7600	-	0.594
7659	-	0.645
7698	-	0.3045
7777	-	0.6215
7782	-	0.564
7829	-	0.5665
7830	-	0.567
7894	-	0.5965
7895	-	0.6005
7896	-	0.559
7945	-	0.5805
8040	-	0.586
8061	-	0.6625
8062	-	0.654
8072	-	0.378
8073	-	0.345
8165	-	0.5995
8166	-	0.6325
8170	-	0.6695
8190	-	0.5805
8399	-	0.558
8420	-	0.583
8486	-	0.6955
8487	-	0.688
8611	-	0.4335
8612	-	0.442
8613	-	0.452
8626	-	0.397
8627	-	0.382
8633	-	0.4285
8673	-	0.6065
8674	-	0.589
8747	-	0.509
8748	-	0.494
8768	-	0.5715
8769	-	0.579
8781	-	0.6605
8858	-	0.701
8859	-	0.7005
8873	-	0.7265
8910	-	0.525
8911	-	0.513
8912	-	0.4935
8918	-	0.5625
8932	-	0.581
8933	-	0.6245
8934	-	0.6515
8991	-	0.4795
9010	-	0.511
9011	-	0.505
9031	-	0.5275
9032	-	0.5415
9033	-	0.555
9110	-	0.5565
9159	-	0.655
9203	-	0.6605
9204	-	0.684
9256	-	0.7315
9308	-	0.655
9319	-	0.7835
9320	-	0.748
9344	-	0.4795
9360	-	0.4675
9389	-	0.733
9458	-	0.6445
9459	-	0.634
9468	-	0.6875
9479	-	0.6805
9480	-	0.665
9507	-	0.4225
9515	-	0.4675
9548	-	0.338
9559	-	0.3905
9580	-	0.292
9592	-	0.529
9609	-	0.5025
9610	-	0.4775
9628	-	0.4295
9632	-	0.614
9633	-	0.663
9634	-	0.6965
9635	-	0.668
9671	-	0.583
9680	-	0.5
9706	-	0.486
9712	-	0.536
9725	-	0.52
9738	-	0.524
9768	-	0.621
9778	-	0.6265
9783	-	0.726
9791	-	0.6525
9792	-	0.6365
9816	-	0.5325
9817	-	0.528
9818	-	0.5325
9898	-	0.487
9917	-	0.6445
9918	-	0.6375
10015	-	0.2225
10051	-	0.5325
10052	-	0.528
10064	-	0.5165
10065	-	0.5195
10147	-	0.5435
10165	-	0.7035
10226	-	0.5775
10253	-	0.6055
10365	-	0.43
10391	-	0.5085
10392	-	0.5295
10393	-	0.573
10432	-	0.6535
10457	-	0.716
10505	-	0.5855
10506	-	0.594
10532	-	0.605
10533	-	0.591
10534	-	0.574
10599	-	0.5235
10600	-	0.5565
10610	-	0.4105
10611	-	0.3915
10669	-	0.779
10670	-	0.773
10713	-	0.4295
10725	-	0.5075
10746	-	0.588
10816	-	0.4175
10840	-	0.559
10841	-	0.542
10913	-	0.5625
10929	-	0.6665
10937	-	0.686
10938	-	0.6705
10970	-	0.554
11029	-	0.5135
11030	-	0.509
11041	-	0.5675
11042	-	0.5525
11047	-	0.5855
11048	-	0.5735
11072	-	0.292
11079	-	0.345
11080	-	0.3385
11081	-	0.374
11082	-	0.42
11083	-	0.467
11084	-	0.49
11100	-	0.518
11101	-	0.519
11102	-	0.4905
11108	-	0.496
11109	-	0.503
11138	-	0.6425
11139	-	0.605
11151	-	0.644
11172	-	0.6
11180	-	0.546
11184	-	0.5225
11185	-	0.5325
11186	-	0.5365
11216	-	0.611
11217	-	0.6075
11288	-	0.5695
11297	-	0.653
11298	-	0.652
11422	-	0.733
11431	-	0.5555
11447	-	0.597
11461	-	0.663
11526	-	0.505
11527	-	0.484
11528	-	0.4575
11545	-	0.4615
11546	-	0.4565
11547	-	0.4555
11572	-	0.645
11573	-	0.636
11614	-	0.352
11621	-	0.4905
11633	-	0.503
11634	-	0.497
11635	-	0.457
11649	-	0.316
11658	-	0.2515
11659	-	0.244
11663	-	0.3385
11679	-	0.549
11698	-	0.502
11713	-	0.55
11727	-	0.4435
11893	-	0.573
11894	-	0.5695
11991	-	0.5455
12004	-	0.471
12013	-	0.546
12019	-	0.6385
12020	-	0.634
12025	-	0.514
12058	-	0.533
12111	-	0.516
12137	-	0.469
12138	-	0.4645
12218	-	0.556
12240	-	0.6765
12367	-	0.579
12368	-	0.5815
12534	-	0.699
12632	-	0.6015
12659	-	0.687
12807	-	0.631
12830	-	0.5695
12839	-	0.562
12912	-	0.6965
12950	-	0.612
12957	-	0.5015
13004	-	0.685
13073	-	0.66
13082	-	0.652
13083	-	0.6155
13230	-	0.6395
13293	-	0.5905
13294	-	0.575
13355	-	0.392
13356	-	0.397
13464	-	0.771
13465	-	0.807
13466	-	0.8195
13476	-	0.6865
13546	-	0.495
13547	-	0.5065
13576	-	0.3205
13577	-	0.349
13636	-	0.519
13652	-	0.564
13672	-	0.5185
13701	-	0.6065
13708	-	0.6375
13748	-	0.6985
13754	-	0.7015
13834	-	0.628
13843	-	0.6125
13844	-	0.5935
13912	-	0.3685
13936	-	0.2215
13937	-	0.224
13999	-	0.374
14098	-	0.5635
14107	-	0.472
14194	-	0.603
14251	-	0.5595
14291	-	0.5155
14302	-	0.385
14303	-	0.3945
14347	-	0.6425
14381	-	0.6595
14388	-	0.6195
14389	-	0.622
14419	-	0.6815
14420	-	0.6555
14444	-	0.6695
14462	-	0.5455
14469	-	0.681
14545	-	0.523
14546	-	0.523
14630	-	0.465
14631	-	0.447
14662	-	0.3885
14663	-	0.3835
14686	-	0.494
14687	-	0.501
14708	-	0.4735
14725	-	0.6455
14729	-	0.6455
14768	-	0.62
14855	-	0.6335
14882	-	0.6955
14953	-	0.6685
14954	-	0.666
14960	-	0.632
14985	-	0.778
15024	-	0.496
15025	-	0.5215
15155	-	0.395
15258	-	0.571
15397	-	0.547
15522	-	0.4715
15523	-	0.444
15524	-	0.45
15531	-	0.439
15564	-	0.4975
15565	-	0.499
15610	-	0.566
15624	-	0.6475
15665	-	0.641
15677	-	0.695
15678	-	0.685
15688	-	0.5955
15700	-	0.4885
15739	-	0.512
15788	-	0.475
15801	-	0.378
15819	-	0.6105
15820	-	0.6095
15821	-	0.6085
15878	-	0.497
15879	-	0.493
15970	-	0.512
15971	-	0.526
16027	-	0.433
16085	-	0.4425
16090	-	0.446
16202	-	0.5965
16203	-	0.607
16260	-	0.473
