start	strand	offtarget_rate	offtargets
31	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
32	+	0.129032258064516	adenovirus,p_jirovecii,c_albicans,s_salivarius
33	+	0.129032258064516	huCoV_HKU1,adenovirus,p_jirovecii,c_albicans
34	+	0.161290322580645	huCoV_HKU1,adenovirus,p_jirovecii,c_albicans,s_salivarius
35	+	0.129032258064516	huCoV_HKU1,adenovirus,p_jirovecii,c_albicans
36	+	0.129032258064516	huCoV_HKU1,adenovirus,p_jirovecii,c_albicans
37	+	0.129032258064516	SARS,huCoV_HKU1,adenovirus,c_albicans
38	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
39	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
40	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
41	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
42	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
43	+	0.193548387096774	SARS,MERS,parainfluenza_4,adenovirus,p_jirovecii,c_albicans
44	+	0.161290322580645	SARS,parainfluenza_4,adenovirus,p_jirovecii,c_albicans
45	+	0.161290322580645	SARS,influenza_A,adenovirus,p_jirovecii,c_albicans
46	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
47	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
48	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
49	+	0.161290322580645	SARS,huCoV_OC43,adenovirus,p_jirovecii,c_albicans
50	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
51	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
52	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
53	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
54	+	0.161290322580645	huCoV_229E,SARS,adenovirus,p_jirovecii,c_albicans
55	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
56	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
57	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
58	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
59	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
60	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
61	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
62	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
63	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
64	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
65	+	0.161290322580645	SARS,huCoV_OC43,adenovirus,p_jirovecii,c_albicans
66	+	0.161290322580645	SARS,parainfluenza_1,adenovirus,p_jirovecii,c_albicans
67	+	0.225806451612903	SARS,huCoV_OC43,huCoV_HKU1,parainfluenza_1,adenovirus,p_jirovecii,c_albicans
68	+	0.161290322580645	SARS,huCoV_OC43,adenovirus,p_jirovecii,c_albicans
69	+	0.161290322580645	SARS,huCoV_OC43,adenovirus,p_jirovecii,c_albicans
70	+	0.161290322580645	SARS,huCoV_OC43,adenovirus,p_jirovecii,c_albicans
71	+	0.161290322580645	SARS,huCoV_OC43,adenovirus,p_jirovecii,c_albicans
72	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
73	+	0.161290322580645	huCoV_229E,SARS,adenovirus,p_jirovecii,c_albicans
74	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
75	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
76	+	0.161290322580645	SARS,huCoV_HKU1,adenovirus,p_jirovecii,c_albicans
77	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
78	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
79	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
80	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
81	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
82	+	0.0967741935483871	SARS,adenovirus,c_albicans
83	+	0.0967741935483871	SARS,adenovirus,c_albicans
84	+	0.032258064516129	SARS
85	+	0.032258064516129	SARS
86	+	0.032258064516129	SARS
87	+	0.032258064516129	SARS
88	+	0.032258064516129	SARS
89	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
90	+	0.129032258064516	SARS,s_pneumoniae,s_pyogenes,s_salivarius
91	+	0.032258064516129	SARS
92	+	0.0645161290322581	SARS,huCoV_OC43
93	+	0.129032258064516	SARS,huCoV_OC43,adenovirus,c_albicans
94	+	0.032258064516129	SARS
95	+	0.032258064516129	SARS
96	+	0.032258064516129	SARS
97	+	0.0967741935483871	SARS,adenovirus,c_albicans
98	+	0.032258064516129	SARS
99	+	0.032258064516129	SARS
100	+	0.032258064516129	SARS
101	+	0.032258064516129	SARS
102	+	0.0645161290322581	SARS,parechovirus
103	+	0.0645161290322581	SARS,parechovirus
104	+	0.129032258064516	SARS,parechovirus,adenovirus,c_albicans
105	+	0.032258064516129	SARS
106	+	0.032258064516129	SARS
107	+	0.032258064516129	SARS
108	+	0.032258064516129	SARS
109	+	0.032258064516129	SARS
110	+	0.032258064516129	SARS
111	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
112	+	0.032258064516129	SARS
113	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
114	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
115	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
116	+	0.0645161290322581	SARS,p_jirovecii
117	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
118	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
119	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
120	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
121	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
122	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
123	+	0.161290322580645	SARS,resp_syncytial_A,adenovirus,p_jirovecii,c_albicans
124	+	0.161290322580645	SARS,resp_syncytial_A,adenovirus,p_jirovecii,c_albicans
125	+	0.161290322580645	SARS,resp_syncytial_A,adenovirus,p_jirovecii,c_albicans
126	+	0.193548387096774	SARS,hMPV,resp_syncytial_A,adenovirus,p_jirovecii,c_albicans
127	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
128	+	0.161290322580645	hMPV,parainfluenza_3,adenovirus,p_jirovecii,c_albicans
129	+	0.161290322580645	hMPV,parainfluenza_3,adenovirus,p_jirovecii,c_albicans
130	+	0.129032258064516	hMPV,adenovirus,p_jirovecii,c_albicans
131	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
132	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
133	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
134	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
135	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
136	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
137	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
138	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
139	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
140	+	0.0967741935483871	SARS,adenovirus,c_albicans
141	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
142	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
143	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
144	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
145	+	0.0967741935483871	SARS,adenovirus,c_albicans
146	+	0.0967741935483871	SARS,adenovirus,c_albicans
147	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
148	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
149	+	0.032258064516129	SARS
150	+	0.0967741935483871	SARS,adenovirus,c_albicans
151	+	0.032258064516129	SARS
152	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
153	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
154	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
155	+	0.032258064516129	SARS
156	+	0.032258064516129	SARS
157	+	0.0645161290322581	SARS,p_jirovecii
158	+	0.0967741935483871	SARS,adenovirus,c_albicans
159	+	0.0967741935483871	SARS,adenovirus,c_albicans
160	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
161	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
162	+	0.0967741935483871	SARS,adenovirus,c_albicans
163	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
164	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
165	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
166	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
167	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
168	+	0.161290322580645	SARS,parainfluenza_4,adenovirus,p_jirovecii,c_albicans
169	+	0.161290322580645	SARS,parainfluenza_4,adenovirus,p_jirovecii,c_albicans
170	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
171	+	0.0967741935483871	SARS,adenovirus,c_albicans
172	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
173	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
174	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
175	+	0.0967741935483871	SARS,adenovirus,c_albicans
176	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
177	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
178	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
179	+	0.0967741935483871	SARS,adenovirus,c_albicans
180	+	0.0967741935483871	SARS,adenovirus,c_albicans
181	+	0.129032258064516	SARS,adenovirus,l_pneumophila,c_albicans
182	+	0.129032258064516	SARS,adenovirus,s_pneumoniae,c_albicans
183	+	0.0645161290322581	SARS,s_pneumoniae
184	+	0.129032258064516	SARS,adenovirus,s_pneumoniae,c_albicans
185	+	0.0967741935483871	SARS,s_pneumoniae,p_aeruginosa
186	+	0.0967741935483871	SARS,s_pneumoniae,p_aeruginosa
187	+	0.193548387096774	SARS,adenovirus,s_pneumoniae,p_jirovecii,c_albicans,p_aeruginosa
188	+	0.193548387096774	SARS,adenovirus,s_pneumoniae,p_jirovecii,c_albicans,p_aeruginosa
189	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
190	+	0.0967741935483871	SARS,adenovirus,c_albicans
191	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
192	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
193	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
194	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
195	+	0.0967741935483871	SARS,adenovirus,c_albicans
196	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
197	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
198	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
199	+	0.0645161290322581	SARS,p_jirovecii
200	+	0.0967741935483871	SARS,adenovirus,c_albicans
201	+	0.0967741935483871	SARS,adenovirus,c_albicans
202	+	0.0967741935483871	SARS,adenovirus,c_albicans
203	+	0.0967741935483871	SARS,adenovirus,c_albicans
204	+	0.0967741935483871	SARS,adenovirus,c_albicans
205	+	0.0967741935483871	SARS,adenovirus,c_albicans
206	+	0.0967741935483871	SARS,adenovirus,c_albicans
207	+	0.0967741935483871	SARS,adenovirus,c_albicans
208	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
209	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
210	+	0.0967741935483871	SARS,adenovirus,c_albicans
211	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
212	+	0.0967741935483871	SARS,adenovirus,c_albicans
213	+	0.0967741935483871	SARS,adenovirus,c_albicans
214	+	0.0967741935483871	SARS,adenovirus,c_albicans
215	+	0.0967741935483871	SARS,adenovirus,c_albicans
216	+	0.0967741935483871	SARS,adenovirus,c_albicans
217	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
218	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
219	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
220	+	0.161290322580645	SARS,adenovirus,p_jirovecii,c_albicans,s_epidermidis
221	+	0.161290322580645	SARS,adenovirus,p_jirovecii,c_albicans,s_epidermidis
222	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
223	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
224	+	0.0967741935483871	SARS,adenovirus,c_albicans
225	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
226	+	0.0645161290322581	SARS,p_jirovecii
227	+	0.032258064516129	SARS
228	+	0.032258064516129	SARS
229	+	0.032258064516129	SARS
230	+	0.032258064516129	SARS
231	+	0.032258064516129	SARS
232	+	0.032258064516129	SARS
233	+	0.032258064516129	SARS
234	+	0.032258064516129	SARS
235	+	0.0645161290322581	SARS,p_jirovecii
236	+	0.032258064516129	SARS
237	+	0.032258064516129	SARS
238	+	0.0645161290322581	SARS,p_jirovecii
239	+	0.032258064516129	SARS
240	+	0.032258064516129	SARS
241	+	0.032258064516129	SARS
242	+	0.032258064516129	SARS
243	+	0.032258064516129	SARS
244	+	0.032258064516129	SARS
245	+	0.0645161290322581	SARS,p_jirovecii
246	+	0.032258064516129	SARS
247	+	0.129032258064516	SARS,huCoV_NL63,adenovirus,c_albicans
248	+	0.0645161290322581	SARS,huCoV_NL63
249	+	0.161290322580645	SARS,huCoV_NL63,adenovirus,p_jirovecii,c_albicans
250	+	0.129032258064516	SARS,huCoV_NL63,adenovirus,c_albicans
251	+	0.193548387096774	SARS,huCoV_NL63,parainfluenza_1,adenovirus,p_jirovecii,c_albicans
252	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
253	+	0.0645161290322581	SARS,p_jirovecii
254	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
255	+	0.0645161290322581	SARS,p_jirovecii
256	+	0.0645161290322581	SARS,p_jirovecii
257	+	0.0645161290322581	SARS,p_jirovecii
258	+	0.161290322580645	SARS,influenza_B,adenovirus,p_jirovecii,c_albicans
259	+	0.032258064516129	SARS
260	+	0.0645161290322581	SARS,p_jirovecii
261	+	0.032258064516129	SARS
262	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
263	+	0.0967741935483871	SARS,adenovirus,c_albicans
264	+	0.0967741935483871	SARS,adenovirus,c_albicans
265	+	0.0967741935483871	SARS,adenovirus,c_albicans
266	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
267	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
268	+	0.0967741935483871	SARS,adenovirus,c_albicans
269	+	0.0645161290322581	SARS,p_jirovecii
270	+	0.0645161290322581	SARS,p_jirovecii
271	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
272	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
273	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
274	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
275	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
276	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
277	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
278	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
279	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
280	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
281	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
282	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
283	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
284	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
285	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
286	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
287	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
288	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
289	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
290	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
291	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
292	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
293	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
294	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
295	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
296	+	0.161290322580645	SARS,enterovirus,adenovirus,p_jirovecii,c_albicans
297	+	0.129032258064516	SARS,enterovirus,adenovirus,c_albicans
298	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
299	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
300	+	0.129032258064516	SARS,parainfluenza_2,adenovirus,c_albicans
301	+	0.0645161290322581	SARS,p_jirovecii
302	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
303	+	0.0645161290322581	SARS,p_jirovecii
304	+	0.0967741935483871	SARS,adenovirus,c_albicans
305	+	0.0967741935483871	SARS,adenovirus,c_albicans
306	+	0.0967741935483871	SARS,adenovirus,c_albicans
307	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
308	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
309	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
310	+	0.0967741935483871	SARS,adenovirus,c_albicans
311	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
312	+	0.161290322580645	SARS,parechovirus,adenovirus,p_jirovecii,c_albicans
313	+	0.193548387096774	SARS,huCoV_NL63,parechovirus,adenovirus,p_jirovecii,c_albicans
314	+	0.193548387096774	SARS,huCoV_NL63,parechovirus,adenovirus,p_jirovecii,c_albicans
315	+	0.193548387096774	SARS,huCoV_NL63,parechovirus,adenovirus,p_jirovecii,c_albicans
316	+	0.161290322580645	SARS,huCoV_NL63,adenovirus,p_jirovecii,c_albicans
317	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
318	+	0.0645161290322581	adenovirus,c_albicans
319	+	0.0645161290322581	adenovirus,c_albicans
320	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
321	+	0.032258064516129	p_jirovecii
322	+	0.032258064516129	p_jirovecii
323	+	0.032258064516129	p_jirovecii
324	+	0.032258064516129	p_jirovecii
325	+	0.0967741935483871	adenovirus,c_albicans,p_aeruginosa
326	+	0.161290322580645	SARS,huCoV_HKU1,adenovirus,p_jirovecii,c_albicans
327	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
328	+	0.0967741935483871	SARS,adenovirus,c_albicans
329	+	0.0967741935483871	SARS,adenovirus,c_albicans
330	+	0.0967741935483871	SARS,adenovirus,c_albicans
331	+	0.032258064516129	SARS
332	+	0.032258064516129	SARS
333	+	0.0645161290322581	huCoV_229E,SARS
334	+	0.032258064516129	SARS
335	+	0.032258064516129	SARS
336	+	0.032258064516129	SARS
337	+	0.032258064516129	SARS
338	+	0.0967741935483871	SARS,adenovirus,c_albicans
339	+	0.032258064516129	SARS
340	+	0.0967741935483871	SARS,adenovirus,c_albicans
341	+	0.0967741935483871	SARS,adenovirus,c_albicans
342	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
343	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
344	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
345	+	0.0967741935483871	SARS,adenovirus,c_albicans
346	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
347	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
348	+	0.0645161290322581	SARS,p_jirovecii
349	+	0.0645161290322581	SARS,p_jirovecii
350	+	0.0645161290322581	SARS,p_jirovecii
351	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
352	+	0.032258064516129	SARS
353	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
354	+	0.0645161290322581	SARS,p_jirovecii
355	+	0.032258064516129	SARS
356	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
357	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
358	+	0.0967741935483871	SARS,adenovirus,c_albicans
359	+	0.0967741935483871	SARS,adenovirus,c_albicans
360	+	0.0967741935483871	SARS,adenovirus,c_albicans
361	+	0.0645161290322581	adenovirus,c_albicans
362	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
363	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
364	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
365	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
366	+	0.032258064516129	p_jirovecii
367	+	0.032258064516129	p_jirovecii
368	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
369	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
370	+	0.0967741935483871	SARS,adenovirus,c_albicans
371	+	0.0967741935483871	SARS,adenovirus,c_albicans
372	+	0.0967741935483871	SARS,adenovirus,c_albicans
373	+	0.0967741935483871	SARS,adenovirus,c_albicans
374	+	0.0967741935483871	SARS,adenovirus,c_albicans
375	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
376	+	0.0645161290322581	SARS,p_jirovecii
377	+	0.0967741935483871	SARS,adenovirus,c_albicans
378	+	0.0967741935483871	SARS,adenovirus,c_albicans
379	+	0.032258064516129	SARS
380	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
381	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
382	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
383	+	0.161290322580645	SARS,adenovirus,s_pneumoniae,p_jirovecii,c_albicans
384	+	0.0645161290322581	SARS,p_jirovecii
385	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
386	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
387	+	0.161290322580645	SARS,resp_syncytial_A,adenovirus,p_jirovecii,c_albicans
388	+	0.161290322580645	huCoV_229E,SARS,adenovirus,p_jirovecii,c_albicans
389	+	0.161290322580645	huCoV_229E,SARS,adenovirus,p_jirovecii,c_albicans
390	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
391	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
392	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
393	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
394	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
395	+	0.161290322580645	huCoV_229E,SARS,adenovirus,p_jirovecii,c_albicans
396	+	0.161290322580645	huCoV_229E,SARS,adenovirus,p_jirovecii,c_albicans
397	+	0.161290322580645	SARS,MERS,adenovirus,p_jirovecii,c_albicans
398	+	0.161290322580645	SARS,MERS,adenovirus,p_jirovecii,c_albicans
399	+	0.161290322580645	SARS,MERS,adenovirus,p_jirovecii,c_albicans
400	+	0.161290322580645	SARS,MERS,adenovirus,p_jirovecii,c_albicans
401	+	0.129032258064516	SARS,MERS,adenovirus,c_albicans
402	+	0.161290322580645	SARS,MERS,adenovirus,p_jirovecii,c_albicans
403	+	0.129032258064516	SARS,MERS,adenovirus,c_albicans
404	+	0.161290322580645	huCoV_229E,SARS,adenovirus,p_jirovecii,c_albicans
405	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
406	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
407	+	0.161290322580645	SARS,huCoV_NL63,adenovirus,p_jirovecii,c_albicans
408	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
409	+	0.0967741935483871	SARS,adenovirus,c_albicans
410	+	0.129032258064516	SARS,huCoV_HKU1,adenovirus,c_albicans
411	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
412	+	0.129032258064516	SARS,adenovirus,p_jirovecii,c_albicans
413	+	0.161290322580645	SARS,MERS,adenovirus,p_jirovecii,c_albicans
414	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
415	+	0.129032258064516	parainfluenza_3,adenovirus,p_jirovecii,c_albicans
416	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
417	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
418	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
419	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
420	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
421	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
422	+	0.193548387096774	SARS,MERS,influenza_B,adenovirus,p_jirovecii,c_albicans
423	+	0.161290322580645	SARS,influenza_B,adenovirus,p_jirovecii,c_albicans
424	+	0.161290322580645	SARS,influenza_B,adenovirus,p_jirovecii,c_albicans
425	+	0.161290322580645	SARS,influenza_B,adenovirus,p_jirovecii,c_albicans
426	+	0.193548387096774	SARS,huCoV_HKU1,influenza_B,adenovirus,p_jirovecii,c_albicans
427	+	0.129032258064516	influenza_B,adenovirus,p_jirovecii,c_albicans
428	+	0.0967741935483871	adenovirus,p_jirovecii,c_albicans
